Data,Total
jun-2014,26687
jul-2014,26932
ago-2014,27157
set-2014,27686
out-2014,28251
nov-2014,28430
dez-2014,29153
jan-2015,28623
fev-2015,28977
mar-2015,29232
abr-2015,29453
mai-2015,28862
jun-2015,28490
jul-2015,28749
ago-2015,28604
set-2015,28880
out-2015,28674
nov-2015,28496
dez-2015,28327
jan-2016,28131
fev-2016,27698
mar-2016,27829
abr-2016,27122
mai-2016,27016
jun-2016,26507
jul-2016,26441
ago-2016,26535
set-2016,26090
out-2016,26915
nov-2016,27232
dez-2016,26974
jan-2017,27135
fev-2017,27845
mar-2017,28027
abr-2017,27833
mai-2017,28073
jun-2017,27791
jul-2017,28165
ago-2017,28195
set-2017,29022
out-2017,29511
nov-2017,30770
dez-2017,30475
jan-2018,30517
fev-2018,31357
mar-2018,31914
abr-2018,31984
mai-2018,31792
jun-2018,32372
jul-2018,33099
ago-2018,34611
set-2018,34811
out-2018,35038
nov-2018,36228
dez-2018,36451
jan-2019,36114
fev-2019,35505
mar-2019,36213
abr-2019,36904
mai-2019,36934
jun-2019,37119
jul-2019,36155
ago-2019,37839
set-2019,38217
out-2019,38895
nov-2019,39467
dez-2019,39425
jan-2020,39033
fev-2020,39008
mar-2020,38857
abr-2020,36194
mai-2020,29546
jun-2020,31699
jul-2020,33469
ago-2020,32199
set-2020,33245
out-2020,31867
nov-2020,34094
dez-2020,34001
jan-2021,33914
fev-2021,30272
mar-2021,34569
abr-2021,34505
mai-2021,34712
jun-2021,34623
jul-2021,34628
ago-2021,34353
set-2021,33304
out-2021,35348
nov-2021,36048
dez-2021,35708
jan-2022,34776
fev-2022,34853
mar-2022,36063
abr-2022,35879
mai-2022,35672
jun-2022,36157
jul-2022,36407
ago-2022,36780
set-2022,37745
out-2022,37730
nov-2022,37845
dez-2022,36971
jan-2023,38278
fev-2023,38216
mar-2023,38886
abr-2023,38476
mai-2023,38622
jun-2023,39021
jul-2023,39204
ago-2023,39540
set-2023,39944
out-2023,39873
nov-2023,40272
dez-2023,40354
jan-2024,38086
fev-2024,39739
mar-2024,39951
abr-2024,40176
mai-2024,40020
jun-2024,40118
jul-2024,40028
ago-2024,40599
